Plate_ID,Frame_Number,Detected_Text,OCR_Confidence,Detection_Confidence,Image_Path
plate_0,KA4654MC_,0.729,plates/plate_0.jpg
plate_1,KA4655MC_,0.598,plates/plate_1.jpg
plate_2,KA4555M__,0.572,plates/plate_2.jpg
plate_3,KA4655M__,0.603,plates/plate_3.jpg
plate_4,KA454MC__,0.644,plates/plate_4.jpg
plate_5,KA4654MC_,0.725,plates/plate_5.jpg
plate_6,KA4654MC_,0.820,plates/plate_6.jpg
plate_7,KA4654MC_,0.824,plates/plate_7.jpg
plate_8,KA4654MC_,0.825,plates/plate_8.jpg
plate_9,KA4654MC_,0.818,plates/plate_9.jpg
plate_10,KA4654MC_,0.819,plates/plate_10.jpg
plate_11,KA4654MC_,0.823,plates/plate_11.jpg
plate_12,KA4654MC_,0.829,plates/plate_12.jpg
plate_13,KA4654MC_,0.829,plates/plate_13.jpg
plate_14,KA4654MC_,0.691,plates/plate_14.jpg
plate_15,KA4654MC_,0.823,plates/plate_15.jpg
plate_16,KA4654MC_,0.824,plates/plate_16.jpg
plate_17,KA4654MC_,0.811,plates/plate_17.jpg
plate_18,KA4654MC_,0.810,plates/plate_18.jpg
plate_19,KA4654MC_,0.826,plates/plate_19.jpg
plate_20,KA4654MC_,0.833,plates/plate_20.jpg
plate_21,KA4654MC_,0.824,plates/plate_21.jpg
plate_22,LN8795___,0.367,plates/plate_22.jpg
plate_23,BC8905MK_,0.809,plates/plate_23.jpg
plate_24,BC8905MK_,0.794,plates/plate_24.jpg
plate_25,BC8905MK_,0.790,plates/plate_25.jpg
plate_26,BC8905MK_,0.789,plates/plate_26.jpg
plate_27,BC8905MK_,0.799,plates/plate_27.jpg
plate_28,BC8905MK_,0.794,plates/plate_28.jpg
plate_29,BC8905MK_,0.797,plates/plate_29.jpg
plate_30,BC8905MK_,0.796,plates/plate_30.jpg
plate_31,BC8905MK_,0.795,plates/plate_31.jpg
plate_32,BC8905MK_,0.801,plates/plate_32.jpg
plate_33,BC8905MK_,0.800,plates/plate_33.jpg
plate_34,BC8905MK_,0.799,plates/plate_34.jpg
plate_35,BC8905MK_,0.802,plates/plate_35.jpg
plate_36,BC8905MK_,0.801,plates/plate_36.jpg
plate_37,BC8905MK_,0.801,plates/plate_37.jpg
plate_38,BC8905MK_,0.800,plates/plate_38.jpg
plate_39,BC8905MK_,0.803,plates/plate_39.jpg
plate_40,BC8905AK_,0.766,plates/plate_40.jpg
plate_41,BC8905AK_,0.766,plates/plate_41.jpg
plate_42,BC8905MK_,0.800,plates/plate_42.jpg
plate_43,BC8905MK_,0.789,plates/plate_43.jpg
plate_44,BC8905MK_,0.788,plates/plate_44.jpg
plate_45,BC8905MK_,0.784,plates/plate_45.jpg
plate_46,BC8905MK_,0.796,plates/plate_46.jpg
plate_47,BC8905MK_,0.795,plates/plate_47.jpg
plate_48,BC8905MK_,0.787,plates/plate_48.jpg
plate_49,BC8905MK_,0.746,plates/plate_49.jpg
plate_50,BC8905MK_,0.793,plates/plate_50.jpg
plate_51,BC8905MK_,0.782,plates/plate_51.jpg
plate_52,BC8905MM_,0.738,plates/plate_52.jpg
plate_53,BC8905MK_,0.714,plates/plate_53.jpg
plate_54,BC8905MK_,0.714,plates/plate_54.jpg
plate_55,BC4375HK_,0.745,plates/plate_55.jpg
plate_56,BC4375HK_,0.796,plates/plate_56.jpg
plate_57,BC4375HK_,0.739,plates/plate_57.jpg
plate_58,BC4375HK_,0.798,plates/plate_58.jpg
plate_59,BC4375IK_,0.739,plates/plate_59.jpg
